rank,candidate_id,x_steps,learning_rate,weight_decay,dropout,tao2,val_acc_mean,val_acc_std,val_acc_min,val_acc_max,test_acc_mean,test_acc_std,test_acc_min,test_acc_max,n
1,85,4,0.001,0,0.25,none,72.9689788818,0,72.9689788818,72.9689788818,72.3781356812,0,72.3781356812,72.3781356812,1
2,88,4,0.001,0.0001,0.25,none,72.9689788818,0,72.9689788818,72.9689788818,71.7873001099,0,71.7873001099,71.7873001099,1
3,91,4,0.001,0.001,0.25,none,72.9689788818,0,72.9689788818,72.9689788818,71.7873001099,0,71.7873001099,71.7873001099,1
4,94,4,0.001,0.01,0.25,none,72.9689788818,0,72.9689788818,72.9689788818,71.7873001099,0,71.7873001099,71.7873001099,1
5,44,2,0.01,0.001,0.5,none,72.6735610962,0,72.6735610962,72.6735610962,75.7754821777,0,75.7754821777,75.7754821777,1
6,41,2,0.01,0.0001,0.5,none,72.0827178955,0,72.0827178955,72.0827178955,74.889213562,0,74.889213562,74.889213562,1
7,38,2,0.01,0,0.5,none,71.7873001099,0,71.7873001099,71.7873001099,76.3663253784,0,76.3663253784,76.3663253784,1
8,47,2,0.01,0.01,0.5,none,71.7873001099,0,71.7873001099,71.7873001099,76.3663253784,0,76.3663253784,76.3663253784,1
9,49,2,0.001,0,0.25,none,71.6395874023,0,71.6395874023,71.6395874023,71.3441619873,0,71.3441619873,71.3441619873,1
10,52,2,0.001,0.0001,0.25,none,71.6395874023,0,71.6395874023,71.6395874023,71.1964569092,0,71.1964569092,71.1964569092,1
11,55,2,0.001,0.001,0.25,none,71.6395874023,0,71.6395874023,71.6395874023,71.1964569092,0,71.1964569092,71.1964569092,1
12,58,2,0.001,0.01,0.25,none,71.6395874023,0,71.6395874023,71.6395874023,71.3441619873,0,71.3441619873,71.3441619873,1
13,89,4,0.001,0.0001,0.5,none,70.457901001,0,70.457901001,70.457901001,69.276222229,0,69.276222229,69.276222229,1
14,92,4,0.001,0.001,0.5,none,70.457901001,0,70.457901001,70.457901001,69.276222229,0,69.276222229,69.276222229,1
15,95,4,0.001,0.01,0.5,none,70.457901001,0,70.457901001,70.457901001,69.276222229,0,69.276222229,69.276222229,1
