task_id,pool,label,status,attempts,return_code,seconds,last_log_path,error_message
grid_candidate_0001,grid,grid_candidate_0001,completed,1,0,12.438475,/home/hzw/Rethinking_GNN_DP/paper_experiments/figure1/search_phase_2/family1/normal_random/dataset=Books-History/feature=random_normal/feature_dim=3200/random_normal_mean=0/random_normal_std=0.5/mechanism=mbm/x_eps=inf/m=best/norm=false/smoother=kprop/backbone=sage/use_nfr=false/logs/grid_candidate_0001_attempt_1.log,
grid_candidate_0002,grid,grid_candidate_0002,completed,1,0,13.840995,/home/hzw/Rethinking_GNN_DP/paper_experiments/figure1/search_phase_2/family1/normal_random/dataset=Books-History/feature=random_normal/feature_dim=3200/random_normal_mean=0/random_normal_std=0.5/mechanism=mbm/x_eps=inf/m=best/norm=false/smoother=kprop/backbone=sage/use_nfr=false/logs/grid_candidate_0002_attempt_1.log,
grid_candidate_0003,grid,grid_candidate_0003,completed,1,0,16.152121,/home/hzw/Rethinking_GNN_DP/paper_experiments/figure1/search_phase_2/family1/normal_random/dataset=Books-History/feature=random_normal/feature_dim=3200/random_normal_mean=0/random_normal_std=0.5/mechanism=mbm/x_eps=inf/m=best/norm=false/smoother=kprop/backbone=sage/use_nfr=false/logs/grid_candidate_0003_attempt_1.log,
grid_candidate_0004,grid,grid_candidate_0004,completed,1,0,12.443664,/home/hzw/Rethinking_GNN_DP/paper_experiments/figure1/search_phase_2/family1/normal_random/dataset=Books-History/feature=random_normal/feature_dim=3200/random_normal_mean=0/random_normal_std=0.5/mechanism=mbm/x_eps=inf/m=best/norm=false/smoother=kprop/backbone=sage/use_nfr=false/logs/grid_candidate_0004_attempt_1.log,
grid_candidate_0005,grid,grid_candidate_0005,completed,1,0,13.145898,/home/hzw/Rethinking_GNN_DP/paper_experiments/figure1/search_phase_2/family1/normal_random/dataset=Books-History/feature=random_normal/feature_dim=3200/random_normal_mean=0/random_normal_std=0.5/mechanism=mbm/x_eps=inf/m=best/norm=false/smoother=kprop/backbone=sage/use_nfr=false/logs/grid_candidate_0005_attempt_1.log,
grid_candidate_0006,grid,grid_candidate_0006,completed,1,0,22.768869,/home/hzw/Rethinking_GNN_DP/paper_experiments/figure1/search_phase_2/family1/normal_random/dataset=Books-History/feature=random_normal/feature_dim=3200/random_normal_mean=0/random_normal_std=0.5/mechanism=mbm/x_eps=inf/m=best/norm=false/smoother=kprop/backbone=sage/use_nfr=false/logs/grid_candidate_0006_attempt_1.log,
grid_candidate_0008,grid,grid_candidate_0008,completed,1,0,16.946381,/home/hzw/Rethinking_GNN_DP/paper_experiments/figure1/search_phase_2/family1/normal_random/dataset=Books-History/feature=random_normal/feature_dim=3200/random_normal_mean=0/random_normal_std=0.5/mechanism=mbm/x_eps=inf/m=best/norm=false/smoother=kprop/backbone=sage/use_nfr=false/logs/grid_candidate_0008_attempt_1.log,
grid_candidate_0007,grid,grid_candidate_0007,completed,1,0,24.169351,/home/hzw/Rethinking_GNN_DP/paper_experiments/figure1/search_phase_2/family1/normal_random/dataset=Books-History/feature=random_normal/feature_dim=3200/random_normal_mean=0/random_normal_std=0.5/mechanism=mbm/x_eps=inf/m=best/norm=false/smoother=kprop/backbone=sage/use_nfr=false/logs/grid_candidate_0007_attempt_1.log,
grid_candidate_0010,grid,grid_candidate_0010,completed,1,0,16.443736,/home/hzw/Rethinking_GNN_DP/paper_experiments/figure1/search_phase_2/family1/normal_random/dataset=Books-History/feature=random_normal/feature_dim=3200/random_normal_mean=0/random_normal_std=0.5/mechanism=mbm/x_eps=inf/m=best/norm=false/smoother=kprop/backbone=sage/use_nfr=false/logs/grid_candidate_0010_attempt_1.log,
grid_candidate_0011,grid,grid_candidate_0011,completed,1,0,23.058996,/home/hzw/Rethinking_GNN_DP/paper_experiments/figure1/search_phase_2/family1/normal_random/dataset=Books-History/feature=random_normal/feature_dim=3200/random_normal_mean=0/random_normal_std=0.5/mechanism=mbm/x_eps=inf/m=best/norm=false/smoother=kprop/backbone=sage/use_nfr=false/logs/grid_candidate_0011_attempt_1.log,
