table,setting,dataset,backbone,feature_dim,smoother,seed,val_acc,test_acc
table6,FeatFree-HOA,citeseer,gat,1600,hoa,12346,68.75,67.90865325927734
table6,FeatFree-HOA,citeseer,gat,1600,hoa,12347,70.0721206665039,68.02884674072266
table6,FeatFree-HOA,citeseer,gat,1600,hoa,12348,70.91346740722656,70.43269348144531
table6,FeatFree-HOA,citeseer,gat,1600,hoa,12349,67.42788696289062,69.23077392578125
table6,FeatFree-HOA,citeseer,gat,1600,hoa,12350,68.3894271850586,68.14904022216797
table6,FeatFree-HOA,citeseer,gat,1600,hoa,12351,68.99038696289062,67.06730651855469
table6,FeatFree-HOA,citeseer,gat,1600,hoa,12352,70.3125,68.02884674072266
table6,FeatFree-HOA,citeseer,gat,1600,hoa,12353,71.27404022216797,67.78846740722656
table6,FeatFree-HOA,citeseer,gat,1600,hoa,12354,67.30769348144531,68.99038696289062
table6,FeatFree-HOA,citeseer,gat,3200,hoa,12345,70.0721206665039,71.39423370361328
table6,FeatFree-HOA,citeseer,gat,3200,hoa,12346,68.99038696289062,68.99038696289062
table6,FeatFree-HOA,citeseer,gat,3200,hoa,12347,70.19231414794922,67.78846740722656
table6,FeatFree-HOA,citeseer,gat,3200,hoa,12348,68.5096206665039,68.87019348144531
table6,FeatFree-HOA,citeseer,gat,3200,hoa,12349,67.30769348144531,68.75
table6,FeatFree-HOA,citeseer,gat,3200,hoa,12350,67.90865325927734,69.11058044433594
table6,FeatFree-HOA,citeseer,gat,3200,hoa,12351,68.75,67.06730651855469
table6,FeatFree-HOA,citeseer,gat,3200,hoa,12352,70.55288696289062,68.26923370361328
table6,FeatFree-HOA,citeseer,gat,3200,hoa,12353,72.23558044433594,68.14904022216797
table6,FeatFree-HOA,citeseer,gat,3200,hoa,12354,68.3894271850586,71.27404022216797
table6,FeatFree-HOA,facebook,gat,800,hoa,12345,93.53862762451172,92.98683166503906
table6,FeatFree-HOA,facebook,gat,800,hoa,12346,93.39622497558594,92.70203399658203
table6,FeatFree-HOA,facebook,gat,800,hoa,12347,93.41402435302734,93.02243041992188
table6,FeatFree-HOA,facebook,gat,800,hoa,12348,92.84442901611328,93.21822357177734
table6,FeatFree-HOA,facebook,gat,800,hoa,12349,92.50623321533203,93.00462341308594
table6,FeatFree-HOA,facebook,gat,800,hoa,12350,94.07262420654297,93.3072280883789
table6,FeatFree-HOA,facebook,gat,800,hoa,12351,92.80883026123047,92.55963134765625
table6,FeatFree-HOA,facebook,gat,800,hoa,12352,93.02243041992188,92.55963134765625
table6,FeatFree-HOA,facebook,gat,800,hoa,12353,92.8978271484375,92.6842269897461
table6,FeatFree-HOA,facebook,gat,800,hoa,12354,93.41402435302734,92.8978271484375
table6,FeatFree-HOA,facebook,gat,1600,hoa,12345,94.07262420654297,93.32502746582031
table6,FeatFree-HOA,facebook,gat,1600,hoa,12346,93.55642700195312,93.0758285522461
table6,FeatFree-HOA,facebook,gat,1600,hoa,12347,94.01922607421875,92.91563415527344
table6,FeatFree-HOA,facebook,gat,1600,hoa,12348,93.59202575683594,93.98362731933594
table6,FeatFree-HOA,facebook,gat,1600,hoa,12349,93.25382995605469,93.68102264404297
table6,FeatFree-HOA,facebook,gat,1600,hoa,12350,94.51762390136719,93.41402435302734
table6,FeatFree-HOA,facebook,gat,1600,hoa,12351,92.82662963867188,93.0936279296875
table6,FeatFree-HOA,facebook,gat,1600,hoa,12352,93.64542388916016,92.8978271484375
table6,FeatFree-HOA,facebook,gat,1600,hoa,12353,93.52082824707031,93.46742248535156
table6,FeatFree-HOA,facebook,gat,1600,hoa,12354,93.93022918701172,93.46742248535156
table6,FeatFree-HOA,facebook,gat,3200,hoa,12345,94.23281860351562,93.71662902832031
table6,FeatFree-HOA,facebook,gat,3200,hoa,12346,94.28622436523438,93.6632308959961
table6,FeatFree-HOA,facebook,gat,3200,hoa,12347,94.1794204711914,93.68102264404297
table6,FeatFree-HOA,facebook,gat,3200,hoa,12348,93.85902404785156,94.32182312011719
table6,FeatFree-HOA,facebook,gat,3200,hoa,12349,93.5030288696289,93.93022918701172
table6,FeatFree-HOA,facebook,gat,3200,hoa,12350,94.5354232788086,93.80562591552734
table6,FeatFree-HOA,facebook,gat,3200,hoa,12351,93.32502746582031,93.52082824707031
table6,FeatFree-HOA,facebook,gat,3200,hoa,12352,93.84122467041016,93.12922668457031
table6,FeatFree-HOA,facebook,gat,3200,hoa,12353,94.01922607421875,93.69882202148438
table6,FeatFree-HOA,facebook,gat,3200,hoa,12354,93.82342529296875,93.25382995605469
table6,FeatFree-HOA,cora,gcn,800,hoa,12345,81.83161163330078,85.22895050048828
table6,FeatFree-HOA,cora,gcn,800,hoa,12346,86.7060546875,85.52436828613281
table6,FeatFree-HOA,cora,gcn,800,hoa,12347,84.63810729980469,85.08123779296875
table6,FeatFree-HOA,cora,gcn,800,hoa,12348,87.2968978881836,85.37666320800781
table6,FeatFree-HOA,cora,gcn,800,hoa,12349,84.78582000732422,82.86558532714844
table6,FeatFree-HOA,cora,gcn,800,hoa,12350,84.34268951416016,83.75184631347656
table6,FeatFree-HOA,cora,gcn,800,hoa,12351,85.08123779296875,85.67208099365234
table6,FeatFree-HOA,cora,gcn,800,hoa,12352,85.81979370117188,85.81979370117188
table6,FeatFree-HOA,cora,gcn,800,hoa,12353,83.16100311279297,86.41063690185547
table6,FeatFree-HOA,cora,gcn,800,hoa,12354,84.63810729980469,87.14918518066406
table6,FeatFree-HOA,cora,gcn,1600,hoa,12345,82.57015991210938,84.0472640991211
table6,FeatFree-HOA,cora,gcn,1600,hoa,12346,86.1152114868164,85.08123779296875
table6,FeatFree-HOA,cora,gcn,1600,hoa,12347,85.67208099365234,85.81979370117188
table6,FeatFree-HOA,cora,gcn,1600,hoa,12348,87.00147247314453,85.81979370117188
table6,FeatFree-HOA,cora,gcn,1600,hoa,12349,85.22895050048828,84.93353271484375
table6,FeatFree-HOA,cora,gcn,1600,hoa,12350,83.4564208984375,85.08123779296875
table6,FeatFree-HOA,cora,gcn,1600,hoa,12351,84.93353271484375,84.78582000732422
table6,FeatFree-HOA,cora,gcn,1600,hoa,12352,85.52436828613281,85.96749877929688
table6,FeatFree-HOA,cora,gcn,1600,hoa,12353,84.63810729980469,85.37666320800781
table6,FeatFree-HOA,cora,gcn,1600,hoa,12354,85.67208099365234,87.59231567382812
table6,FeatFree-HOA,cora,gcn,3200,hoa,12345,83.3087158203125,85.37666320800781
table6,FeatFree-HOA,cora,gcn,3200,hoa,12346,87.14918518066406,84.78582000732422
table6,FeatFree-HOA,cora,gcn,3200,hoa,12347,84.19497680664062,85.37666320800781
table6,FeatFree-HOA,cora,gcn,3200,hoa,12348,87.88774108886719,85.22895050048828
table6,FeatFree-HOA,cora,gcn,3200,hoa,12349,84.49039459228516,84.19497680664062
table6,FeatFree-HOA,cora,gcn,3200,hoa,12350,84.19497680664062,82.27474212646484
table6,FeatFree-HOA,cora,gcn,3200,hoa,12351,83.8995590209961,84.93353271484375
table6,FeatFree-HOA,cora,gcn,3200,hoa,12352,85.81979370117188,86.55834197998047
table6,FeatFree-HOA,cora,gcn,3200,hoa,12353,83.75184631347656,85.81979370117188
table6,FeatFree-HOA,cora,gcn,3200,hoa,12354,85.81979370117188,86.85376739501953
table6,FeatFree-HOA,lastfm,gcn,800,hoa,12345,89.44098663330078,87.972900390625
table6,FeatFree-HOA,lastfm,gcn,800,hoa,12346,88.98927307128906,89.4974594116211
table6,FeatFree-HOA,lastfm,gcn,800,hoa,12347,88.93280792236328,88.76341247558594
table6,FeatFree-HOA,lastfm,gcn,800,hoa,12348,88.76341247558594,89.55392456054688
table6,FeatFree-HOA,lastfm,gcn,800,hoa,12349,89.21512603759766,87.52117156982422
table6,FeatFree-HOA,lastfm,gcn,800,hoa,12350,88.19876098632812,89.21512603759766
table6,FeatFree-HOA,lastfm,gcn,800,hoa,12351,88.4810791015625,88.36815643310547
table6,FeatFree-HOA,lastfm,gcn,800,hoa,12352,88.19876098632812,87.80349731445312
table6,FeatFree-HOA,lastfm,gcn,800,hoa,12353,88.70694732666016,87.18238067626953
table6,FeatFree-HOA,lastfm,gcn,800,hoa,12354,89.89271545410156,87.91642761230469
table6,FeatFree-HOA,lastfm,gcn,1600,hoa,12345,89.4974594116211,88.14229583740234
table6,FeatFree-HOA,lastfm,gcn,1600,hoa,12346,89.04573059082031,89.04573059082031
table6,FeatFree-HOA,lastfm,gcn,1600,hoa,12347,88.81986999511719,88.70694732666016
table6,FeatFree-HOA,lastfm,gcn,1600,hoa,12348,89.4974594116211,89.4974594116211
table6,FeatFree-HOA,lastfm,gcn,1600,hoa,12349,89.1586685180664,87.23884582519531
table6,FeatFree-HOA,lastfm,gcn,1600,hoa,12350,88.31168365478516,89.1586685180664
table6,FeatFree-HOA,lastfm,gcn,1600,hoa,12351,88.65047454833984,88.5940170288086
table6,FeatFree-HOA,lastfm,gcn,1600,hoa,12352,88.42461395263672,88.65047454833984
table6,FeatFree-HOA,lastfm,gcn,1600,hoa,12353,88.70694732666016,87.46470642089844
table6,FeatFree-HOA,lastfm,gcn,1600,hoa,12354,90.11857604980469,87.80349731445312
table6,FeatFree-HOA,lastfm,gcn,3200,hoa,12345,89.4974594116211,88.08582305908203
table6,FeatFree-HOA,lastfm,gcn,3200,hoa,12346,89.1586685180664,89.4974594116211
table6,FeatFree-HOA,lastfm,gcn,3200,hoa,12347,89.27159881591797,88.53755187988281
table6,FeatFree-HOA,lastfm,gcn,3200,hoa,12348,89.21512603759766,89.55392456054688
table6,FeatFree-HOA,lastfm,gcn,3200,hoa,12349,89.21512603759766,87.52117156982422
table6,FeatFree-HOA,lastfm,gcn,3200,hoa,12350,88.25521850585938,89.44098663330078
table6,FeatFree-HOA,lastfm,gcn,3200,hoa,12351,88.19876098632812,88.4810791015625
table6,FeatFree-HOA,lastfm,gcn,3200,hoa,12352,88.31168365478516,88.36815643310547
table6,FeatFree-HOA,lastfm,gcn,3200,hoa,12353,88.70694732666016,88.02935791015625
table6,FeatFree-HOA,lastfm,gcn,3200,hoa,12354,90.17504119873047,87.69056701660156
table6,FeatFree-HOA,citeseer,gcn,800,hoa,12345,68.99038696289062,70.79327392578125
table6,FeatFree-HOA,citeseer,gcn,800,hoa,12346,67.54808044433594,66.34615325927734
table6,FeatFree-HOA,citeseer,gcn,800,hoa,12347,70.0721206665039,66.8269271850586
table6,FeatFree-HOA,citeseer,gcn,800,hoa,12348,68.3894271850586,67.66827392578125
table6,FeatFree-HOA,citeseer,gcn,800,hoa,12349,67.54808044433594,67.54808044433594
table6,FeatFree-HOA,citeseer,gcn,800,hoa,12350,65.86538696289062,66.34615325927734
table6,FeatFree-HOA,citeseer,gcn,800,hoa,12351,68.75,66.58654022216797
table6,FeatFree-HOA,citeseer,gcn,800,hoa,12352,70.67308044433594,67.42788696289062
table6,FeatFree-HOA,citeseer,gcn,800,hoa,12353,67.90865325927734,69.35096740722656
table6,FeatFree-HOA,citeseer,gcn,800,hoa,12354,66.70673370361328,68.02884674072266
table6,FeatFree-HOA,citeseer,gcn,1600,hoa,12345,70.0721206665039,72.47596740722656
table6,FeatFree-HOA,citeseer,gcn,1600,hoa,12346,68.62981414794922,68.26923370361328
table6,FeatFree-HOA,citeseer,gcn,1600,hoa,12347,70.55288696289062,68.14904022216797
table6,FeatFree-HOA,citeseer,gcn,1600,hoa,12348,71.27404022216797,71.15384674072266
table6,FeatFree-HOA,citeseer,gcn,1600,hoa,12349,65.625,67.78846740722656
table6,FeatFree-HOA,citeseer,gcn,1600,hoa,12350,67.06730651855469,67.78846740722656
table6,FeatFree-HOA,citeseer,gcn,1600,hoa,12351,69.47115325927734,67.90865325927734
table6,FeatFree-HOA,citeseer,gcn,1600,hoa,12352,70.67308044433594,69.23077392578125
table6,FeatFree-HOA,citeseer,gcn,1600,hoa,12353,71.5144271850586,68.14904022216797
table6,FeatFree-HOA,citeseer,gcn,1600,hoa,12354,66.9471206665039,69.83173370361328
table6,FeatFree-HOA,citeseer,gcn,3200,hoa,12345,70.67308044433594,71.99519348144531
table6,FeatFree-HOA,citeseer,gcn,3200,hoa,12346,68.99038696289062,68.3894271850586
table6,FeatFree-HOA,citeseer,gcn,3200,hoa,12347,69.9519271850586,67.1875
table6,FeatFree-HOA,citeseer,gcn,3200,hoa,12348,68.99038696289062,69.23077392578125
table6,FeatFree-HOA,citeseer,gcn,3200,hoa,12349,67.54808044433594,70.0721206665039
table6,FeatFree-HOA,citeseer,gcn,3200,hoa,12350,68.14904022216797,68.5096206665039
table6,FeatFree-HOA,citeseer,gcn,3200,hoa,12351,67.54808044433594,65.86538696289062
table6,FeatFree-HOA,citeseer,gcn,3200,hoa,12352,70.79327392578125,67.30769348144531
table6,FeatFree-HOA,citeseer,gcn,3200,hoa,12353,71.875,70.43269348144531
table6,FeatFree-HOA,citeseer,gcn,3200,hoa,12354,68.75,69.9519271850586
table6,FeatFree-HOA,facebook,gcn,800,hoa,12345,93.23603057861328,92.57743072509766
table6,FeatFree-HOA,facebook,gcn,800,hoa,12346,93.12922668457031,92.50623321533203
table6,FeatFree-HOA,facebook,gcn,800,hoa,12347,93.0758285522461,92.41722869873047
table6,FeatFree-HOA,facebook,gcn,800,hoa,12348,92.8978271484375,93.12922668457031
table6,FeatFree-HOA,facebook,gcn,800,hoa,12349,92.7198257446289,92.98683166503906
table6,FeatFree-HOA,facebook,gcn,800,hoa,12350,93.84122467041016,93.14702606201172
table6,FeatFree-HOA,facebook,gcn,800,hoa,12351,92.66642761230469,92.61302947998047
table6,FeatFree-HOA,facebook,gcn,800,hoa,12352,92.66642761230469,92.6842269897461
table6,FeatFree-HOA,facebook,gcn,800,hoa,12353,93.00462341308594,92.7198257446289
table6,FeatFree-HOA,facebook,gcn,800,hoa,12354,93.21822357177734,93.14702606201172
table6,FeatFree-HOA,facebook,gcn,1600,hoa,12345,93.77002716064453,93.16482543945312
table6,FeatFree-HOA,facebook,gcn,1600,hoa,12346,94.03702545166016,93.3072280883789
table6,FeatFree-HOA,facebook,gcn,1600,hoa,12347,93.93022918701172,93.20042419433594
table6,FeatFree-HOA,facebook,gcn,1600,hoa,12348,93.3072280883789,94.03702545166016
table6,FeatFree-HOA,facebook,gcn,1600,hoa,12349,93.0936279296875,93.37842559814453
table6,FeatFree-HOA,facebook,gcn,1600,hoa,12350,94.80242156982422,93.2894287109375
table6,FeatFree-HOA,facebook,gcn,1600,hoa,12351,93.0936279296875,93.25382995605469
table6,FeatFree-HOA,facebook,gcn,1600,hoa,12352,93.57422637939453,93.04022979736328
table6,FeatFree-HOA,facebook,gcn,1600,hoa,12353,93.69882202148438,93.2894287109375
table6,FeatFree-HOA,facebook,gcn,1600,hoa,12354,93.78782653808594,93.55642700195312
table6,FeatFree-HOA,facebook,gcn,3200,hoa,12345,94.21502685546875,93.71662902832031
table6,FeatFree-HOA,facebook,gcn,3200,hoa,12346,94.46422576904297,93.60982513427734
table6,FeatFree-HOA,facebook,gcn,3200,hoa,12347,94.12602233886719,93.73442840576172
table6,FeatFree-HOA,facebook,gcn,3200,hoa,12348,93.84122467041016,94.3396224975586
table6,FeatFree-HOA,facebook,gcn,3200,hoa,12349,93.48522186279297,93.9658203125
table6,FeatFree-HOA,facebook,gcn,3200,hoa,12350,94.60662078857422,93.3072280883789
table6,FeatFree-HOA,facebook,gcn,3200,hoa,12351,93.3072280883789,93.89462280273438
table6,FeatFree-HOA,facebook,gcn,3200,hoa,12352,93.68102264404297,93.23603057861328
table6,FeatFree-HOA,facebook,gcn,3200,hoa,12353,94.05482482910156,94.09042358398438
table6,FeatFree-HOA,facebook,gcn,3200,hoa,12354,94.03702545166016,93.60982513427734
table6,FeatFree-HOA,cora,sage,800,hoa,12345,81.68389892578125,85.37666320800781
table6,FeatFree-HOA,cora,sage,800,hoa,12346,86.7060546875,85.52436828613281
table6,FeatFree-HOA,cora,sage,800,hoa,12347,85.22895050048828,86.1152114868164
table6,FeatFree-HOA,cora,sage,800,hoa,12348,86.7060546875,86.85376739501953
table6,FeatFree-HOA,cora,sage,800,hoa,12349,85.37666320800781,84.0472640991211
table6,FeatFree-HOA,cora,sage,800,hoa,12350,83.60413360595703,83.16100311279297
table6,FeatFree-HOA,cora,sage,800,hoa,12351,84.49039459228516,85.67208099365234
table6,FeatFree-HOA,cora,sage,800,hoa,12352,85.67208099365234,85.08123779296875
table6,FeatFree-HOA,cora,sage,800,hoa,12353,84.0472640991211,86.1152114868164
table6,FeatFree-HOA,cora,sage,800,hoa,12354,84.78582000732422,87.00147247314453
table6,FeatFree-HOA,cora,sage,1600,hoa,12345,82.27474212646484,84.93353271484375
table6,FeatFree-HOA,cora,sage,1600,hoa,12346,87.14918518066406,84.63810729980469
table6,FeatFree-HOA,cora,sage,1600,hoa,12347,85.22895050048828,85.52436828613281
table6,FeatFree-HOA,cora,sage,1600,hoa,12348,87.14918518066406,85.96749877929688
table6,FeatFree-HOA,cora,sage,1600,hoa,12349,85.52436828613281,83.60413360595703
table6,FeatFree-HOA,cora,sage,1600,hoa,12350,83.01329040527344,84.0472640991211
table6,FeatFree-HOA,cora,sage,1600,hoa,12351,85.52436828613281,84.49039459228516
table6,FeatFree-HOA,cora,sage,1600,hoa,12352,85.22895050048828,84.93353271484375
table6,FeatFree-HOA,cora,sage,1600,hoa,12353,83.75184631347656,85.37666320800781
table6,FeatFree-HOA,cora,sage,1600,hoa,12354,85.81979370117188,87.2968978881836
table6,FeatFree-HOA,cora,sage,3200,hoa,12345,83.16100311279297,85.22895050048828
table6,FeatFree-HOA,cora,sage,3200,hoa,12346,86.55834197998047,84.49039459228516
table6,FeatFree-HOA,cora,sage,3200,hoa,12347,84.93353271484375,84.49039459228516
table6,FeatFree-HOA,cora,sage,3200,hoa,12348,88.03544616699219,85.22895050048828
table6,FeatFree-HOA,cora,sage,3200,hoa,12349,85.52436828613281,82.86558532714844
table6,FeatFree-HOA,cora,sage,3200,hoa,12350,82.86558532714844,83.01329040527344
table6,FeatFree-HOA,cora,sage,3200,hoa,12351,84.93353271484375,85.37666320800781
table6,FeatFree-HOA,cora,sage,3200,hoa,12352,85.08123779296875,86.85376739501953
table6,FeatFree-HOA,cora,sage,3200,hoa,12353,83.3087158203125,84.78582000732422
table6,FeatFree-HOA,cora,sage,3200,hoa,12354,84.49039459228516,87.00147247314453
table6,FeatFree-HOA,lastfm,sage,800,hoa,12345,89.32806396484375,87.52117156982422
table6,FeatFree-HOA,lastfm,sage,800,hoa,12346,88.4810791015625,89.1586685180664
table6,FeatFree-HOA,lastfm,sage,800,hoa,12347,88.76341247558594,89.10220336914062
table6,FeatFree-HOA,lastfm,sage,800,hoa,12348,88.81986999511719,89.38452911376953
table6,FeatFree-HOA,lastfm,sage,800,hoa,12349,89.27159881591797,87.18238067626953
table6,FeatFree-HOA,lastfm,sage,800,hoa,12350,88.19876098632812,88.98927307128906
table6,FeatFree-HOA,lastfm,sage,800,hoa,12351,88.14229583740234,87.91642761230469
table6,FeatFree-HOA,lastfm,sage,800,hoa,12352,87.74703216552734,88.14229583740234
table6,FeatFree-HOA,lastfm,sage,800,hoa,12353,88.81986999511719,87.18238067626953
table6,FeatFree-HOA,lastfm,sage,800,hoa,12354,89.4974594116211,87.8599624633789
table6,FeatFree-HOA,lastfm,sage,1600,hoa,12345,89.21512603759766,87.80349731445312
table6,FeatFree-HOA,lastfm,sage,1600,hoa,12346,88.70694732666016,88.93280792236328
table6,FeatFree-HOA,lastfm,sage,1600,hoa,12347,88.87633514404297,88.53755187988281
table6,FeatFree-HOA,lastfm,sage,1600,hoa,12348,89.10220336914062,88.87633514404297
table6,FeatFree-HOA,lastfm,sage,1600,hoa,12349,88.81986999511719,87.12591552734375
table6,FeatFree-HOA,lastfm,sage,1600,hoa,12350,88.25521850585938,89.32806396484375
table6,FeatFree-HOA,lastfm,sage,1600,hoa,12351,88.53755187988281,88.25521850585938
table6,FeatFree-HOA,lastfm,sage,1600,hoa,12352,87.80349731445312,88.5940170288086
table6,FeatFree-HOA,lastfm,sage,1600,hoa,12353,88.93280792236328,87.74703216552734
table6,FeatFree-HOA,lastfm,sage,1600,hoa,12354,89.77978515625,87.972900390625
table6,FeatFree-HOA,lastfm,sage,3200,hoa,12345,89.32806396484375,87.74703216552734
table6,FeatFree-HOA,lastfm,sage,3200,hoa,12346,88.70694732666016,88.70694732666016
table6,FeatFree-HOA,lastfm,sage,3200,hoa,12347,88.81986999511719,88.65047454833984
table6,FeatFree-HOA,lastfm,sage,3200,hoa,12348,88.53755187988281,88.4810791015625
table6,FeatFree-HOA,lastfm,sage,3200,hoa,12349,88.93280792236328,86.78712463378906
table6,FeatFree-HOA,lastfm,sage,3200,hoa,12350,88.14229583740234,89.21512603759766
table6,FeatFree-HOA,lastfm,sage,3200,hoa,12351,88.14229583740234,88.25521850585938
table6,FeatFree-HOA,lastfm,sage,3200,hoa,12352,88.14229583740234,88.65047454833984
table6,FeatFree-HOA,lastfm,sage,3200,hoa,12353,88.5940170288086,87.57764434814453
table6,FeatFree-HOA,lastfm,sage,3200,hoa,12354,89.61038208007812,87.972900390625
table6,FeatFree-HOA,citeseer,sage,800,hoa,12345,67.42788696289062,70.0721206665039
table6,FeatFree-HOA,citeseer,sage,800,hoa,12346,67.78846740722656,66.70673370361328
